"CellCode";"EofOrigin.x";"NofOrigin.x";"final_capacity"
"10kmE299N344";2990000;3440000;0.958632905948041
"10kmE299N345";2990000;3450000;0.999997978484579
"10kmE300N146";3000000;1460000;0.999998265958098
"10kmE301N146";3010000;1460000;0.999998028380527
"10kmE301N503";3010000;5030000;0.999993649617829
"10kmE302N146";3020000;1460000;0.999997720955176
"10kmE302N163";3020000;1630000;0.999968725615077
"10kmE302N348";3020000;3480000;0.999990004250941
"10kmE302N477";3020000;4770000;0.999994909058386
"10kmE302N505";3020000;5050000;0.999988553807865
"10kmE303N163";3030000;1630000;0.999967723895995
"10kmE303N351";3030000;3510000;0.9999800790282
"10kmE303N477";3030000;4770000;0.999999994666916
"10kmE303N505";3030000;5050000;0.999987384868093
"10kmE304N163";3040000;1630000;0.999986343651647
"10kmE304N350";3040000;3500000;0.999986367125746
"10kmE304N351";3040000;3510000;0.999980481695211
"10kmE304N477";3040000;4770000;0.99999382425702
"10kmE305N146";3050000;1460000;0.999997581945192
"10kmE305N163";3050000;1630000;0.99998509794304
"10kmE305N241";3050000;2410000;0.742014582206219
"10kmE305N333";3050000;3330000;0.537558786939101
"10kmE305N351";3050000;3510000;0.999985838467222
"10kmE305N478";3050000;4780000;0.999995756400963
"10kmE306N146";3060000;1460000;0.999998189097903
"10kmE306N163";3060000;1630000;0.999968766619824
"10kmE306N333";3060000;3330000;0.705075875520759
"10kmE307N146";3070000;1460000;0.999996757336732
"10kmE307N163";3070000;1630000;0.999982854859822
"10kmE307N240";3070000;2400000;0.609680290034991
"10kmE307N333";3070000;3330000;0.752803181572266
"10kmE308N145";3080000;1450000;0.999997377946548
"10kmE308N146";3080000;1460000;0.999996898283256
"10kmE309N145";3090000;1450000;0.999997028860336
"10kmE309N334";3090000;3340000;0.748069397255525
"10kmE309N363";3090000;3630000;0.72154212113089
"10kmE309N503";3090000;5030000;0.999991139333713
"10kmE310N145";3100000;1450000;0.999996343906283
"10kmE310N334";3100000;3340000;0.855589726661646
"10kmE310N362";3100000;3620000;0.949037734550911
"10kmE310N363";3100000;3630000;0.750706571166362
"10kmE311N145";3110000;1450000;0.999990659425725
"10kmE311N334";3110000;3340000;0.805130728918568
"10kmE311N362";3110000;3620000;0.999998274583899
"10kmE311N363";3110000;3630000;0.999984260432109
"10kmE312N146";3120000;1460000;0.999996748032361
"10kmE312N162";3120000;1620000;0.999990550982066
"10kmE312N366";3120000;3660000;0.963817093431616
"10kmE312N367";3120000;3670000;0.936873852599634
"10kmE312N478";3120000;4780000;0.999993055954357
"10kmE313N146";3130000;1460000;0.99998899728342
"10kmE313N147";3130000;1470000;0.999997952146047
"10kmE313N162";3130000;1620000;0.999993837722543
"10kmE313N335";3130000;3350000;0.999986937359917
"10kmE313N336";3130000;3360000;0.999984625707361
"10kmE313N363";3130000;3630000;0.999990463298805
"10kmE313N364";3130000;3640000;0.999981179958847
"10kmE313N478";3130000;4780000;0.999992580361026
"10kmE314N145";3140000;1450000;0.999988186545
"10kmE314N146";3140000;1460000;0.999992119939673
"10kmE314N162";3140000;1620000;0.999993811464681
"10kmE314N336";3140000;3360000;0.999999601907312
"10kmE314N363";3140000;3630000;0.999977709081769
"10kmE314N369";3140000;3690000;0.919154776437627
"10kmE315N143";3150000;1430000;0.999996547629714
"10kmE315N144";3150000;1440000;0.999996535768466
"10kmE315N161";3150000;1610000;0.999985689878411
"10kmE315N236";3150000;2360000;0.670220992647238
"10kmE315N335";3150000;3350000;0.734640315480351
"10kmE315N364";3150000;3640000;0.9999804690018
"10kmE315N479";3150000;4790000;0.99999535492085
"10kmE316N143";3160000;1430000;0.999996326353731
"10kmE316N160";3160000;1600000;0.999986754020156
"10kmE316N161";3160000;1610000;0.999992753817663
"10kmE316N335";3160000;3350000;0.742107934493238
"10kmE316N479";3160000;4790000;0.999991510774663
"10kmE317N143";3170000;1430000;0.999997246003928
"10kmE317N160";3170000;1600000;0.999990735853579
"10kmE317N335";3170000;3350000;0.639825033075584
"10kmE317N480";3170000;4800000;0.999994520763673
"10kmE318N143";3180000;1430000;0.999992714242757
"10kmE318N160";3180000;1600000;0.999990339159632
"10kmE318N480";3180000;4800000;0.999992573064069
"10kmE318N504";3180000;5040000;0.999987690080353
"10kmE319N142";3190000;1420000;0.999996057794561
"10kmE319N143";3190000;1430000;0.99999590280029
"10kmE319N371";3190000;3710000;0.999976421129915
"10kmE320N142";3200000;1420000;0.99999685476559
"10kmE320N312";3200000;3120000;0.999999261439949
"10kmE320N335";3200000;3350000;0.999988954177286
"10kmE320N371";3200000;3710000;0.999994965999431
"10kmE320N493";3200000;4930000;0.999999651631164
"10kmE321N142";3210000;1420000;0.999996530934365
"10kmE321N161";3210000;1610000;0.999988928821287
"10kmE321N236";3210000;2360000;0.99997740956415
"10kmE321N313";3210000;3130000;0.875055201166095
"10kmE321N370";3210000;3700000;0.999994337203919
"10kmE321N371";3210000;3710000;0.999986922228543
"10kmE321N482";3210000;4820000;0.999991419433976
"10kmE321N493";3210000;4930000;0.999999700592747
"10kmE322N142";3220000;1420000;0.999996346493558
"10kmE322N161";3220000;1610000;0.999989325045011
"10kmE322N236";3220000;2360000;0.724618216215627
"10kmE322N286";3220000;2860000;0.999982301895044
"10kmE322N288";3220000;2880000;0.999981744371756
"10kmE322N313";3220000;3130000;0.840667196277037
"10kmE322N337";3220000;3370000;0.999994385694578
"10kmE322N371";3220000;3710000;0.999987517482045
"10kmE322N372";3220000;3720000;0.999992614854583
"10kmE322N491";3220000;4910000;1
"10kmE322N499";3220000;4990000;0.999988902168812
"10kmE322N500";3220000;5000000;0.999988161412928
"10kmE323N142";3230000;1420000;0.999989453399584
"10kmE323N286";3230000;2860000;0.999979980325952
"10kmE323N287";3230000;2870000;0.815054306367694
"10kmE323N289";3230000;2890000;0.639007946787317
"10kmE323N290";3230000;2900000;0.999989724233805
"10kmE323N309";3230000;3090000;0.747722568883498
"10kmE323N340";3230000;3400000;0.999998111466317
