"CellCode";"EofOrigin.x";"NofOrigin.x";"final_capacity"
"10kmE197N95";NA;NA;NA
"10kmE197N96";NA;NA;NA
"10kmE197N97";NA;NA;NA
"10kmE198N100";NA;NA;NA
"10kmE198N101";NA;NA;NA
"10kmE198N102";NA;NA;NA
"10kmE198N97";NA;NA;NA
"10kmE198N98";NA;NA;NA
"10kmE198N99";NA;NA;NA
"10kmE199N100";NA;NA;NA
"10kmE199N101";NA;NA;NA
"10kmE199N102";NA;NA;NA
"10kmE199N103";NA;NA;NA
"10kmE200N101";NA;NA;NA
"10kmE200N103";NA;NA;NA
"10kmE201N101";NA;NA;NA
"10kmE201N103";NA;NA;NA
"10kmE201N104";NA;NA;NA
"10kmE202N101";NA;NA;NA
"10kmE202N102";NA;NA;NA
"10kmE202N103";NA;NA;NA
"10kmE202N104";NA;NA;NA
"10kmE202N105";NA;NA;NA
"10kmE202N106";NA;NA;NA
"10kmE203N102";NA;NA;NA
"10kmE203N103";NA;NA;NA
"10kmE203N104";NA;NA;NA
"10kmE203N105";NA;NA;NA
"10kmE203N106";NA;NA;NA
"10kmE204N104";NA;NA;NA
"10kmE261N197";NA;NA;NA
"10kmE262N175";NA;NA;NA
"10kmE262N176";NA;NA;NA
"10kmE262N195";NA;NA;NA
"10kmE262N196";NA;NA;NA
"10kmE263N175";NA;NA;NA
"10kmE263N176";NA;NA;NA
"10kmE263N177";NA;NA;NA
"10kmE263N178";NA;NA;NA
"10kmE263N193";NA;NA;NA
"10kmE263N194";NA;NA;NA
"10kmE263N195";NA;NA;NA
"10kmE263N196";NA;NA;NA
"10kmE263N197";NA;NA;NA
"10kmE263N198";NA;NA;NA
"10kmE263N199";NA;NA;NA
"10kmE263N200";NA;NA;NA
"10kmE263N201";NA;NA;NA
"10kmE264N175";NA;NA;NA
"10kmE264N176";NA;NA;NA
"10kmE264N177";NA;NA;NA
"10kmE264N178";NA;NA;NA
"10kmE264N179";NA;NA;NA
"10kmE264N191";NA;NA;NA
"10kmE264N192";NA;NA;NA
"10kmE264N193";NA;NA;NA
"10kmE264N194";NA;NA;NA
"10kmE264N195";NA;NA;NA
"10kmE264N196";NA;NA;NA
"10kmE264N197";NA;NA;NA
"10kmE264N198";NA;NA;NA
"10kmE264N199";NA;NA;NA
"10kmE264N200";NA;NA;NA
"10kmE264N201";NA;NA;NA
"10kmE264N202";NA;NA;NA
"10kmE264N203";NA;NA;NA
"10kmE265N175";NA;NA;NA
"10kmE265N176";NA;NA;NA
"10kmE265N178";NA;NA;NA
"10kmE265N179";NA;NA;NA
"10kmE265N180";NA;NA;NA
"10kmE265N181";NA;NA;NA
"10kmE265N182";NA;NA;NA
"10kmE265N191";NA;NA;NA
"10kmE265N192";NA;NA;NA
"10kmE265N193";NA;NA;NA
"10kmE265N194";NA;NA;NA
"10kmE265N199";NA;NA;NA
"10kmE265N200";2650000;2000000;NA
"10kmE265N201";2650000;2010000;NA
"10kmE265N202";NA;NA;NA
"10kmE265N203";NA;NA;NA
"10kmE266N174";NA;NA;NA
"10kmE266N175";NA;NA;NA
"10kmE266N176";NA;NA;NA
"10kmE266N179";NA;NA;NA
"10kmE266N180";NA;NA;NA
"10kmE266N181";NA;NA;NA
"10kmE266N182";NA;NA;NA
"10kmE266N183";NA;NA;NA
"10kmE266N184";NA;NA;NA
"10kmE266N185";NA;NA;NA
"10kmE266N186";NA;NA;NA
"10kmE266N187";NA;NA;NA
"10kmE266N191";NA;NA;NA
"10kmE266N200";NA;NA;NA
"10kmE266N201";NA;NA;NA
"10kmE266N202";NA;NA;NA
"10kmE266N203";NA;NA;NA
"10kmE267N174";NA;NA;NA
"10kmE267N175";NA;NA;NA
"10kmE267N176";NA;NA;NA
"10kmE267N183";NA;NA;NA
"10kmE267N184";NA;NA;NA
"10kmE267N185";NA;NA;NA
"10kmE267N186";NA;NA;NA
"10kmE267N187";NA;NA;NA
"10kmE267N188";NA;NA;NA
"10kmE267N189";NA;NA;NA
"10kmE267N190";NA;NA;NA
"10kmE267N191";NA;NA;NA
"10kmE267N202";NA;NA;NA
"10kmE267N203";NA;NA;NA
"10kmE267N204";NA;NA;NA
"10kmE267N487";NA;NA;NA
"10kmE267N488";NA;NA;NA
"10kmE268N174";NA;NA;NA
"10kmE268N175";NA;NA;NA
"10kmE268N188";NA;NA;NA
"10kmE268N189";NA;NA;NA
"10kmE268N190";NA;NA;NA
"10kmE268N191";NA;NA;NA
"10kmE268N203";NA;NA;NA
"10kmE268N204";NA;NA;NA
"10kmE268N205";NA;NA;NA
"10kmE268N206";NA;NA;NA
"10kmE268N207";NA;NA;NA
"10kmE268N487";NA;NA;NA
"10kmE268N488";NA;NA;NA
"10kmE269N174";NA;NA;NA
"10kmE269N175";NA;NA;NA
"10kmE269N203";2690000;2030000;NA
"10kmE269N204";NA;NA;NA
"10kmE269N205";NA;NA;NA
"10kmE269N206";NA;NA;NA
"10kmE269N207";2690000;2070000;NA
"10kmE269N208";NA;NA;NA
"10kmE269N488";NA;NA;NA
"10kmE270N173";NA;NA;NA
"10kmE270N174";NA;NA;NA
"10kmE270N175";NA;NA;NA
"10kmE270N205";2700000;2050000;0.999997011658756
"10kmE270N206";NA;NA;NA
"10kmE270N207";2700000;2070000;NA
"10kmE270N208";2700000;2080000;0.779615589626355
"10kmE270N209";NA;NA;NA
"10kmE270N210";NA;NA;NA
"10kmE270N211";NA;NA;NA
"10kmE270N488";NA;NA;NA
"10kmE270N489";NA;NA;NA
"10kmE271N173";NA;NA;NA
"10kmE271N174";NA;NA;NA
"10kmE271N207";NA;NA;NA
"10kmE271N208";NA;NA;NA
"10kmE271N209";NA;NA;NA
"10kmE271N210";NA;NA;NA
"10kmE271N211";NA;NA;NA
"10kmE271N212";NA;NA;NA
"10kmE271N213";NA;NA;NA
"10kmE271N214";NA;NA;NA
"10kmE271N215";NA;NA;NA
"10kmE271N488";NA;NA;NA
"10kmE272N208";NA;NA;NA
"10kmE272N209";2720000;2090000;0.999952915782028
"10kmE272N210";2720000;2100000;0.999982317034396
"10kmE272N211";NA;NA;NA
"10kmE272N212";2720000;2120000;NA
"10kmE272N213";2720000;2130000;NA
"10kmE272N214";2720000;2140000;NA
"10kmE272N215";2720000;2150000;NA
"10kmE272N216";2720000;2160000;0.834379456240924
"10kmE272N217";NA;NA;NA
"10kmE272N489";NA;NA;NA
"10kmE273N211";2730000;2110000;0.999987723812285
"10kmE273N212";NA;NA;NA
"10kmE273N213";NA;NA;NA
"10kmE273N214";2730000;2140000;NA
"10kmE273N215";2730000;2150000;NA
"10kmE273N216";2730000;2160000;NA
"10kmE273N217";NA;NA;NA
"10kmE273N218";2730000;2180000;NA
"10kmE273N219";NA;NA;NA
"10kmE273N220";NA;NA;NA
"10kmE273N221";NA;NA;NA
"10kmE273N489";NA;NA;NA
"10kmE273N490";NA;NA;NA
"10kmE274N213";2740000;2130000;0.999998366811326
"10kmE274N214";NA;NA;NA
"10kmE274N215";NA;NA;NA
"10kmE274N216";2740000;2160000;NA
"10kmE274N217";2740000;2170000;NA
"10kmE274N218";2740000;2180000;NA
"10kmE274N219";NA;NA;NA
"10kmE274N220";2740000;2200000;NA
"10kmE274N221";NA;NA;NA
"10kmE274N222";NA;NA;NA
"10kmE274N223";NA;NA;NA
"10kmE274N489";NA;NA;NA
"10kmE274N490";NA;NA;NA
"10kmE275N173";NA;NA;NA
"10kmE275N215";NA;NA;NA
"10kmE275N216";2750000;2160000;0.99998716786541
"10kmE275N217";NA;NA;NA
"10kmE275N218";NA;NA;NA
"10kmE275N219";NA;NA;NA
"10kmE275N220";NA;NA;NA
"10kmE275N221";NA;NA;NA
"10kmE275N222";2750000;2220000;NA
"10kmE275N223";NA;NA;NA
"10kmE275N224";NA;NA;NA
"10kmE275N225";NA;NA;NA
"10kmE275N226";NA;NA;NA
"10kmE275N227";NA;NA;NA
"10kmE275N228";NA;NA;NA
"10kmE275N229";NA;NA;NA
"10kmE275N230";NA;NA;NA
"10kmE275N238";NA;NA;NA
"10kmE275N239";NA;NA;NA
"10kmE275N241";NA;NA;NA
"10kmE275N489";NA;NA;NA
"10kmE275N509";NA;NA;NA
"10kmE276N173";NA;NA;NA
"10kmE276N217";NA;NA;NA
"10kmE276N218";NA;NA;NA
"10kmE276N219";NA;NA;NA
"10kmE276N220";NA;NA;NA
"10kmE276N221";NA;NA;NA
"10kmE276N222";NA;NA;NA
"10kmE276N223";NA;NA;NA
"10kmE276N224";NA;NA;NA
"10kmE276N225";NA;NA;NA
"10kmE276N226";2760000;2260000;NA
"10kmE276N227";NA;NA;NA
"10kmE276N228";2760000;2280000;NA
"10kmE276N229";NA;NA;NA
"10kmE276N230";NA;NA;NA
"10kmE276N231";NA;NA;NA
"10kmE276N232";NA;NA;NA
"10kmE276N233";NA;NA;NA
"10kmE276N234";NA;NA;NA
"10kmE276N235";NA;NA;NA
"10kmE276N236";NA;NA;NA
"10kmE276N237";NA;NA;NA
"10kmE276N238";NA;NA;NA
"10kmE276N239";NA;NA;NA
"10kmE276N241";NA;NA;NA
"10kmE276N242";NA;NA;NA
"10kmE276N489";NA;NA;NA
"10kmE276N490";NA;NA;NA
"10kmE276N500";NA;NA;NA
"10kmE276N501";NA;NA;NA
"10kmE276N502";NA;NA;NA
"10kmE276N503";NA;NA;NA
"10kmE276N506";NA;NA;NA
"10kmE276N507";NA;NA;NA
"10kmE276N508";NA;NA;NA
"10kmE276N509";NA;NA;NA
"10kmE276N510";2760000;5100000;NA
"10kmE276N511";NA;NA;NA
"10kmE276N512";NA;NA;NA
"10kmE277N173";NA;NA;NA
"10kmE277N230";NA;NA;NA
"10kmE277N231";NA;NA;NA
"10kmE277N232";NA;NA;NA
"10kmE277N233";NA;NA;NA
"10kmE277N234";NA;NA;NA
