Broad Scale Habitat;Biotic group;Contribution to supply;Name;Contribution to supply;Condition indicator name for species or group;;;;;;
Shallow Sublittoral Sand;Macrophytes;3;;;;;Macrophytes;linear;1x+0;;
Shallow Sublittoral Sand;Macroalgae;3;;;;;Macroalgae;linear;1x+0;;
Shallow Sublittoral Mud;Birds;1;;;;;; ;1x+0;;
Shallow Sublittoral Mud;Whales (dead);1;;;;;; ;1x+0;;
Shallow Sublittoral Mud;Seals (haul outs);1;;;;;; ;1x+0;;
Shallow Sublittoral Mud;Reptiles (nesting);1;;;;;; ;1x+0;;
Shallow Sublittoral Mud;Fish;1;;;;;; ;1x+0;;
Shallow Sublittoral Mud;Cephalopods;1;;;;;; ;1x+0;;
Shallow Sublittoral Mud;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Shallow Sublittoral Mud;Infauna;2;;;;;; ;1x+0;;
Shallow Sublittoral Mud;Macrophytes;3;;;;;Macrophytes;linear;1x+0;;
Shallow Sublittoral Mud;Macroalgae;3;;;;;Macroalgae;linear;1x+0;;
Shallow Sublittoral Mixed Sediment;Birds;1;;;;;; ;1x+0;;
Shallow Sublittoral Mixed Sediment;Whales (dead);1;;;;;; ;1x+0;;
Shallow Sublittoral Mixed Sediment;Seals (haul outs);1;;;;;; ;1x+0;;
Shallow Sublittoral Mixed Sediment;Reptiles (nesting);1;;;;;; ;1x+0;;
Shallow Sublittoral Mixed Sediment;Fish;1;;;;;; ;1x+0;;
Shallow Sublittoral Mixed Sediment;Cephalopods;1;;;;;; ;1x+0;;
Shallow Sublittoral Mixed Sediment;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Shallow Sublittoral Mixed Sediment;Infauna;2;;;;;; ;1x+0;;
Shallow Sublittoral Mixed Sediment;Macrophytes;3;;;;;Macrophytes;linear;1x+0;;
Shallow Sublittoral Mixed Sediment;Macroalgae;3;;;;;Macroalgae;linear;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Birds;1;;;;;; ;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Whales;1;;;;;; ;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Seals;1;;;;;; ;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Reptiles;1;;;;;; ;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Fish;1;;;;;; ;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Cephalopods;1;;;;;; ;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Epifauna;2;;;;;Benthic fauna quality;linear;1x+0;;
Shelf Sublittoral Rock and Biogenic Reef;Infauna;1;;;;;; ;1x+0;;
Shelf Sublittoral Coarse Sediment;Birds;1;;;;;; ;1x+0;;
Shelf Sublittoral Coarse Sediment;Whales;1;;;;;; ;1x+0;;
Shelf Sublittoral Coarse Sediment;Seals;1;;;;;; ;1x+0;;
Shelf Sublittoral Coarse Sediment;Reptiles;1;;;;;; ;1x+0;;
Shelf Sublittoral Coarse Sediment;Fish;1;;;;;; ;1x+0;;
Shelf Sublittoral Coarse Sediment;Cephalopods;1;;;;;; ;1x+0;;
Shelf Sublittoral Coarse Sediment;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Shelf Sublittoral Coarse Sediment;Infauna;1;;;;;; ;1x+0;;
Shelf Sublittoral Sand;Birds;1;;;;;; ;1x+0;;
Shelf Sublittoral Sand;Whales;1;;;;;; ;1x+0;;
Shelf Sublittoral Sand;Seals;1;;;;;; ;1x+0;;
Shelf Sublittoral Sand;Reptiles;1;;;;;; ;1x+0;;
Shelf Sublittoral Sand;Fish;1;;;;;; ;1x+0;;
Shelf Sublittoral Sand;Cephalopods;1;;;;;; ;1x+0;;
Shelf Sublittoral Sand;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Shelf Sublittoral Sand;Infauna;1;;;;;; ;1x+0;;
Shelf Sublittoral Mud;Birds;1;;;;;; ;1x+0;;
Shelf Sublittoral Mud;Whales;1;;;;;; ;1x+0;;
Shelf Sublittoral Mud;Seals;1;;;;;; ;1x+0;;
Shelf Sublittoral Mud;Reptiles;1;;;;;; ;1x+0;;
Shelf Sublittoral Mud;Fish;1;;;;;; ;1x+0;;
Shelf Sublittoral Mud;Cephalopods;1;;;;;; ;1x+0;;
Shelf Sublittoral Mud;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Shelf Sublittoral Mud;Infauna;1;;;;;; ;1x+0;;
Shelf Sublittoral Mixed Sediment;Birds;1;;;;;; ;1x+0;;
Shelf Sublittoral Mixed Sediment;Whales;1;;;;;; ;1x+0;;
Shelf Sublittoral Mixed Sediment;Seals;1;;;;;; ;1x+0;;
Shelf Sublittoral Mixed Sediment;Reptiles;1;;;;;; ;1x+0;;
Shelf Sublittoral Mixed Sediment;Fish;1;;;;;; ;1x+0;;
Shelf Sublittoral Mixed Sediment;Cephalopods;1;;;;;; ;1x+0;;
Shelf Sublittoral Mixed Sediment;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Shelf Sublittoral Mixed Sediment;Infauna;1;;;;;; ;1x+0;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
;;;;;;;#VIITTAUS!;;;;
