FID_europe;OBJECTID;CellCode;EofOrigin;NofOrigin;Shape_Leng;Shape_Area;value;FID_Ecosys;x_etrs;y_etrs;Baleen_wha;breed_bird;Coastal;deeptooth;FishSpec;Offshore;Saltmarsh;Seagrass;Seal;Seamounts;Smalltooth;Turtles;Cold_coral;Abyssal;CircaCS;CircaMS;CircaMud;CiOrOffMd;CircaRBR;CircaSand;InfraCS;InfraMS;InfraMud;InfraRBR;InfraSand;Na;OffCiCS;OffCiMS;OffCiMud;OffCiRBR;OffCiSand;Bathy
40106;40107;10kmE570N202;5700000;2020000;40000.00000000000;100000000.00000000000;1;0;5705000;2025000;0.00000000000;0.00000000000;1;0.00000000000;0.59596000000;0;1;0;0.50000000000;0;0.25000000000;0.25000000000;1.00000000000;0;0.28448482500;0;0;0;0;0;0.67343302300;0;0;0;0;0;0.04208215200;0;0;0;0;0
40481;40482;10kmE570N203;5700000;2030000;40000.00000000000;100000000.00000000000;1;1;5705000;2035000;0.00000000000;0.00000000000;1;0.00000000000;0.59596000000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.70827149700;0;0;0;0;0;0.14843192600;0;0;0;0;0;0.14329657700;0;0;0;0;0
40482;40483;10kmE571N203;5710000;2030000;40000.00000000000;100000000.00000000000;1;4;5715000;2035000;0.00000000000;0.00000000000;1;0.00000000000;0.59596000000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.21947326000;0;0;0;0;0;0.00000000000;0;0;0;0;0;0.77961539100;0;0;0;0;0
40857;40858;10kmE570N204;5700000;2040000;40000.00000000000;100000000.00000000000;1;2;5705000;2045000;0.00000000000;0.00000000000;1;0.00000000000;0.59596000000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.00000000000;0;0;0;0;0;0.09645125100;0;0;0;0;0;0.90354874900;0;0;0;0;0
40858;40859;10kmE571N204;5710000;2040000;40000.00000000000;100000000.00000000000;1;5;5715000;2045000;0.00000000000;0.00000000000;1;0.00000000000;0.59596000000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.01702960000;0;0;0;0;0;0.14786563500;0;0;0;0;0;0.82403558200;0;0;0;0;0
41225;41226;10kmE570N205;5700000;2050000;40000.00000000000;100000000.00000000000;1;3;5705000;2055000;0.00000000000;0.00000000000;1;0.00000000000;0.59596000000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.00000000000;0;0;0;0;0;0.03399981300;0;0;0;0;0;0.96600018700;0;0;0;0;0
41226;41227;10kmE571N205;5710000;2050000;40000.00000000000;100000000.00000000000;1;6;5715000;2055000;0.00000000000;0.08000000000;1;0.00000000000;0.59596000000;0;1;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.04011932900;0;0;0;0;0;0.02746476200;0;0;0;0;0;0.89988676800;0;0;0;0;0
41227;41228;10kmE572N205;5720000;2050000;40000.00000000000;99999999.99990000000;1;8;5725000;2055000;0.00000000000;0.08000000000;1;0.00000000000;0.59596000000;0;1;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.00000000000;0;0;0;0;0;0.02131393800;0;0;0;0;0;0.95737187700;0;0;0;0;0
41592;41593;10kmE571N206;5710000;2060000;40000.00000000000;100000000.00000000000;1;7;5715000;2065000;0.00000000000;0.08000000000;1;0.00000000000;0.59596000000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.00000000000;0;0;0;0;0;0.13629678600;0;0;0;0;0;0.86370321400;0;0;0;0;0
41593;41594;10kmE572N206;5720000;2060000;40000.00000000000;100000000.00000000000;1;9;5725000;2065000;0.00000000000;0.08000000000;1;0.00000000000;0.59596000000;0;1;0;0.50000000000;0;0.25000000000;0.00000000000;1.00000000000;0;0.00856514200;0;0;0;0;0;0.01808060600;0;0;0;0;0;0.96764419900;0;0;0;0;0
