FID_1;x_etrs;y_etrs;Baleen_wha;breed_bird;Baleen_w_1;breed_bi_1;Coastal;deeptooth;FishSpec;deeptooth_;FishSpec_D;Offshore;Saltmarsh;Seagrass;Seal;Seamounts;Smalltooth;Turtles;Smalltoo_1;Turtles_D;Cold_coral;Abyssal;CircaCS;CircaMS;CircaMud;CiOrOffMd;CircaRBR;CircaSand;InfraCS;InfraMS;InfraMud;InfraRBR;InfraSand;Na;OffCiCS;OffCiMS;OffCiCS_D;OffCiMS_D;OffCiMud;OffCiRBR;OffCiMud_D;OffCiRBR_D;OffCiSand;Bathy;Region;FID_2;CellCode;EofOrigin;NofOrigin
244;4425000;3435000;0.00000000000;0.40000000000;0.00000000000;0.40000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0.0042993;0;0.006174303;0;0.002703158;0.986823239;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;229762;10kmE442N343;4420000;3430000
444;4565000;3435000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;0.50000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;229776;10kmE456N343;4560000;3430000
463;4575000;3435000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;1.00000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;229777;10kmE457N343;4570000;3430000
482;4585000;3435000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;1.00000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;229778;10kmE458N343;4580000;3430000
142;4375000;3445000;0.00000000000;0.32000000000;0.00000000000;0.32000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;1;0;0.50000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0;0.032482213;0.181661699;0;0;0.015167619;0.086537186;0;0.324852479;0;0.275449771;0.001866752;0;0.007260274;0.00000000000;0.00726027400;0.074722006;0;0.07472200600;0.00000000000;0;0;;230597;10kmE437N344;4370000;3440000
166;4385000;3445000;0.00000000000;0.32000000000;0.00000000000;0.32000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.026613734;0.007268733;0.597814618;0;0;0.010311057;0.015947303;0.01299067;0.163977344;0;0.152582426;0;0;0;0.00000000000;0.00000000000;0.012494115;0;0.01249411500;0.00000000000;0;0;;230598;10kmE438N344;4380000;3440000
188;4395000;3445000;0.00000000000;0.32000000000;0.00000000000;0.32000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.013993294;0;0.894006335;0;0;0;0;0;0.087311511;0;0.00468886;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230599;10kmE439N344;4390000;3440000
212;4405000;3445000;0.00000000000;0.40000000000;0.00000000000;0.40000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.137152197;0;0.309474339;0;0;0.253356231;0.132874698;0;0.006134362;0;0.158041632;0;0;0;0.00000000000;0.00000000000;0.002966541;0;0.00296654100;0.00000000000;0;0;;230600;10kmE440N344;4400000;3440000
230;4415000;3445000;0.00000000000;0.40000000000;0.00000000000;0.40000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.027091121;0;0.205375652;0;0;0.031617031;0.257725577;0;0.117084802;0;0.361105817;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230601;10kmE441N344;4410000;3440000
245;4425000;3445000;0.00000000000;0.40000000000;0.00000000000;0.40000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.019892738;0;0.001600906;0;0;0.057549018;0.223339256;0;0.021814219;0;0.435640755;0.240163107;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230602;10kmE442N344;4420000;3440000
257;4435000;3445000;0.00000000000;0.40000000000;0.00000000000;0.40000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;0.50000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230603;10kmE443N344;4430000;3440000
413;4545000;3445000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;0.50000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230614;10kmE454N344;4540000;3440000
428;4555000;3445000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;0.50000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230615;10kmE455N344;4550000;3440000
445;4565000;3445000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;0.50000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0.12291666;0;0.113621494;0.763461846;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230616;10kmE456N344;4560000;3440000
464;4575000;3445000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;1.00000000000;0;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0;0;0;0;0;0;0;0;0;0.009248618;0;0.171564229;0.819187153;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230617;10kmE457N344;4570000;3440000
483;4585000;3445000;0.00000000000;0.24000000000;0.00000000000;0.24000000000;1;0.00000000000;0.11447800000;0.00000000000;0.11447800000;0;0;0;1.00000000000;0;0.12500000000;0.00000000000;0.12500000000;0.00000000000;0.00000000000;0;0.013476028;0;0.007470838;0;0;0.325388312;0.075451979;0;0.024979722;0;0.274529859;0.278703261;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;230618;10kmE458N344;4580000;3440000
167;4385000;3455000;0.00000000000;0.32000000000;0.00000000000;0.32000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;1;0;0.50000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0;1.60E-05;0.166726958;0;0;0.154010149;0;1.66E-05;0.23566544;0;0.443564766;0;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231438;10kmE438N345;4380000;3450000
189;4395000;3455000;0.00000000000;0.32000000000;0.00000000000;0.32000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.030994765;0;0.204012947;0;0;0.163670687;0.124433136;0;0.153347519;0;0.322804418;0.000736529;0;0;0.00000000000;0.00000000000;0;0;0.00000000000;0.00000000000;0;0;;231439;10kmE439N345;4390000;3450000
213;4405000;3455000;0.00000000000;0.32000000000;0.00000000000;0.32000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0;0;0.561284393;0;0;0.045746462;0.010635443;0;0.299278677;0;0.065086057;0;0;0;0.00000000000;0.00000000000;0.017968967;0;0.01796896700;0.00000000000;0;0;;231440;10kmE440N345;4400000;3450000
231;4415000;3455000;0.00000000000;0.04000000000;0.00000000000;0.04000000000;1;0.00000000000;0.23400700000;0.00000000000;0.23400700000;0;0;0;1.00000000000;0;0.25000000000;0.00000000000;0.25000000000;0.00000000000;0.00000000000;0;0.001308799;0;0.918506501;0;0;0.01243235;0.020984988;0;0.034349856;0;0.001963339;0;0;0;0.00000000000;0.00000000000;0.010454169;0;0.01045416900;0.00000000000;0;0;;231441;10kmE441N345;4410000;3450000
